time_s,cart_x_m,theta_rad,cart_v_mps,theta_dot_radps,force_N,solve_time_ms,solver_success,solver_status,model_x_ddot_mps2,model_theta_ddot_radps2,forward_dynamics_equation_residual_inf
1.270000,0.230118499,-0.012584808,0.139570642,-0.006994409,-0.157514877,2.741589,1,Solve_Succeeded,-0.132374949,0.022252166,0.000000000000e+00
1.280000,0.231498651,-0.012652146,0.138248493,-0.006772859,-0.157514877,2.741589,1,Solve_Succeeded,-0.132374949,0.022252166,0.000000000000e+00
1.290000,0.232865574,-0.012717447,0.136925785,-0.006566506,-0.158652471,2.609853,1,Solve_Succeeded,-0.133272523,0.021243785,2.775557561563e-17
1.300000,0.234219171,-0.012780623,0.135594562,-0.006354982,-0.158652471,2.609853,1,Solve_Succeeded,-0.133272523,0.021243785,2.775557561563e-17
1.310000,0.235559449,-0.012841852,0.134262814,-0.006157714,-0.159718901,2.476811,1,Solve_Succeeded,-0.134113859,0.020296677,8.673617379884e-19
1.320000,0.236886315,-0.012901052,0.132923084,-0.005955602,-0.159718901,2.476811,1,Solve_Succeeded,-0.134113859,0.020296677,8.673617379884e-19
1.330000,0.238199779,-0.012958387,0.131582861,-0.005766851,-0.160716759,2.475304,1,Solve_Succeeded,-0.134900915,0.019406860,1.734723475977e-18
1.340000,0.239499752,-0.013013782,0.130235170,-0.005573580,-0.160716759,2.475304,1,Solve_Succeeded,-0.134900915,0.019406860,1.734723475977e-18
1.350000,0.240786243,-0.013067391,0.128887018,-0.005392813,-0.161648478,2.527317,1,Solve_Succeeded,-0.135635535,0.018570611,2.775557561563e-17
1.360000,0.242059171,-0.013119143,0.127531893,-0.005207848,-0.161648478,2.527317,1,Solve_Succeeded,-0.135635535,0.018570611,2.775557561563e-17
1.370000,0.243318542,-0.013169183,0.126176338,-0.005034568,-0.162516348,2.910490,1,Solve_Succeeded,-0.136319452,0.017784442,1.734723475977e-18
1.380000,0.244564281,-0.013217444,0.124814290,-0.004857408,-0.162516348,2.910490,1,Solve_Succeeded,-0.136319452,0.017784442,1.734723475977e-18
1.390000,0.245796396,-0.013264062,0.123451842,-0.004691151,-0.163322525,2.532610,1,Solve_Succeeded,-0.136954298,0.017045095,8.673617379884e-19
1.400000,0.247014814,-0.013308976,0.122083363,-0.004521329,-0.163322525,2.532610,1,Solve_Succeeded,-0.136954298,0.017045095,8.673617379884e-19
1.410000,0.248219544,-0.013352311,0.120714514,-0.004361660,-0.164069035,3.084878,1,Solve_Succeeded,-0.137541612,0.016349516,0.000000000000e+00
1.420000,0.249410519,-0.013394011,0.119340083,-0.004198739,-0.164069035,3.084878,1,Solve_Succeeded,-0.137541612,0.016349516,0.000000000000e+00
1.430000,0.250587746,-0.013434192,0.117965311,-0.004045253,-0.164757789,2.740976,1,Solve_Succeeded,-0.138082841,0.015694852,0.000000000000e+00
1.440000,0.251751165,-0.013472805,0.116585391,-0.003888825,-0.164757789,2.740976,1,Solve_Succeeded,-0.138082841,0.015694852,0.000000000000e+00
1.450000,0.252900781,-0.013509955,0.115205159,-0.003741142,-0.165390588,2.650048,1,Solve_Succeeded,-0.138579352,0.015078432,1.734723475977e-18
1.460000,0.254036539,-0.013545598,0.113820199,-0.003590823,-0.165390588,2.650048,1,Solve_Succeeded,-0.138579352,0.015078432,1.734723475977e-18
1.470000,0.255158444,-0.013579833,0.112434955,-0.003448590,-0.165969128,2.540927,1,Solve_Succeeded,-0.139032436,0.014497756,2.775557561563e-17
1.480000,0.256266445,-0.013612618,0.111045393,-0.003304025,-0.165969128,2.540927,1,Solve_Succeeded,-0.139032436,0.014497756,2.775557561563e-17
1.490000,0.257360549,-0.013644046,0.109655573,-0.003166911,-0.166495011,2.537369,1,Solve_Succeeded,-0.139443309,0.013950487,2.775557561563e-17
1.500000,0.258440707,-0.013674078,0.108261832,-0.003027765,-0.166495011,2.537369,1,Solve_Succeeded,-0.139443309,0.013950487,2.775557561563e-17
1.510000,0.259506926,-0.013702799,0.106867860,-0.002895460,-0.166969749,2.525390,1,Solve_Succeeded,-0.139813122,0.013434438,2.775557561563e-17
1.520000,0.260559163,-0.013730177,0.105470353,-0.002761423,-0.166969749,2.525390,1,Solve_Succeeded,-0.139813122,0.013434438,2.775557561563e-17
1.530000,0.261597423,-0.013756287,0.104072641,-0.002633639,-0.167394770,2.661369,1,Solve_Succeeded,-0.140142963,0.012947563,0.000000000000e+00
1.540000,0.262621669,-0.013781104,0.102671769,-0.002504418,-0.167394770,2.661369,1,Solve_Succeeded,-0.140142963,0.012947563,0.000000000000e+00
1.550000,0.263631904,-0.013804694,0.101270719,-0.002380885,-0.167771423,3.560078,1,Solve_Succeeded,-0.140433861,0.012487948,2.775557561563e-17
1.560000,0.264628095,-0.013827036,0.099866874,-0.002256208,-0.167771423,3.560078,1,Solve_Succeeded,-0.140433861,0.012487948,2.775557561563e-17
1.570000,0.265610246,-0.013848192,0.098462875,-0.002136676,-0.168100988,2.790333,1,Solve_Succeeded,-0.140686792,0.012053803,0.000000000000e+00
1.580000,0.266578328,-0.013868143,0.097056437,-0.002016289,-0.168100988,2.790333,1,Solve_Succeeded,-0.140686792,0.012053803,0.000000000000e+00
1.590000,0.267532345,-0.013886944,0.095649872,-0.001900521,-0.168384674,3.031952,1,Solve_Succeeded,-0.140902681,0.011643452,2.775557561563e-17
1.600000,0.268472271,-0.013904580,0.094241214,-0.001784187,-0.168384674,3.031952,1,Solve_Succeeded,-0.140902681,0.011643452,2.775557561563e-17
1.610000,0.269398110,-0.013921102,0.092832453,-0.001671965,-0.168623627,3.124336,1,Solve_Succeeded,-0.141082403,0.011255331,2.775557561563e-17
1.620000,0.270309840,-0.013936498,0.091421938,-0.001559461,-0.168623627,3.124336,1,Solve_Succeeded,-0.141082403,0.011255331,2.775557561563e-17
1.630000,0.271207464,-0.013950812,0.090011344,-0.001450579,-0.168818936,3.229739,1,Solve_Succeeded,-0.141226794,0.010887973,2.775557561563e-17
1.640000,0.272090966,-0.013964036,0.088599327,-0.001341700,-0.168818936,3.229739,1,Solve_Succeeded,-0.141226794,0.010887973,2.775557561563e-17
1.650000,0.272960346,-0.013976210,0.087187254,-0.001235967,-0.168971632,2.661529,1,Solve_Succeeded,-0.141336644,0.010540009,1.734723475977e-18
1.660000,0.273815593,-0.013987329,0.085774082,-0.001130517,-0.168971632,2.661529,1,Solve_Succeeded,-0.141336644,0.010540009,1.734723475977e-18
1.670000,0.274656708,-0.013997425,0.084360877,-0.001027756,-0.169082698,2.997347,1,Solve_Succeeded,-0.141412707,0.010210157,0.000000000000e+00
1.680000,0.275483682,-0.014006500,0.082946888,-0.000925556,-0.169082698,2.997347,1,Solve_Succeeded,-0.141412707,0.010210157,0.000000000000e+00
1.690000,0.276296515,-0.014014580,0.081532890,-0.000825599,-0.169153069,3.074613,1,Solve_Succeeded,-0.141455703,0.009897219,2.775557561563e-17
1.700000,0.277095203,-0.014021669,0.080118417,-0.000726480,-0.169153069,3.074613,1,Solve_Succeeded,-0.141455703,0.009897219,2.775557561563e-17
1.710000,0.277879747,-0.014027790,0.078703957,-0.000629173,-0.169183632,3.221163,1,Solve_Succeeded,-0.141466317,0.009600074,0.000000000000e+00
1.720000,0.278650144,-0.014032950,0.077289325,-0.000532977,-0.169183632,3.221163,1,Solve_Succeeded,-0.141466317,0.009600074,0.000000000000e+00
1.730000,0.279406395,-0.014037164,0.075874727,-0.000438175,-0.169175238,3.132858,1,Solve_Succeeded,-0.141445203,0.009317675,0.000000000000e+00
1.740000,0.280148501,-0.014040447,0.074460254,-0.000344754,-0.169175238,3.132858,1,Solve_Succeeded,-0.141445203,0.009317675,0.000000000000e+00
1.750000,0.280876463,-0.014042807,0.073045838,-0.000252323,-0.169128695,2.749547,1,Solve_Succeeded,-0.141392986,0.009049042,2.775557561563e-17
1.760000,0.281590286,-0.014044262,0.071631835,-0.000161541,-0.169128695,2.749547,1,Solve_Succeeded,-0.141392986,0.009049042,2.775557561563e-17
1.770000,0.282289970,-0.014044816,0.070217912,-0.000071354,-0.169044777,3.584702,1,Solve_Succeeded,-0.141310267,0.008793258,0.000000000000e+00
