time_s,cart_x_m,theta_rad,cart_v_mps,theta_dot_radps,force_N,solve_time_ms,solver_success,solver_status,first_x_ddot_mps2,first_theta_ddot_radps2,passive_hinge_id_residual_Nm
0.480000,0.086892948,0.008570133,0.208582726,-0.070414034,0.015495117,3.486406,1,Solve_Succeeded,0.001783170,0.222647014,0.000000000000e+00
0.490000,0.088979109,0.007890218,0.208611044,-0.068354850,0.005039913,3.159591,1,Solve_Succeeded,-0.006241777,0.208877466,-8.673617379884e-19
0.500000,0.091064645,0.007231191,0.208562236,-0.066270527,0.005039913,3.159591,1,Solve_Succeeded,-0.006241777,0.208877466,-8.673617379884e-19
0.510000,0.093149649,0.006591207,0.208509695,-0.064339216,-0.004831225,3.487685,1,Solve_Succeeded,-0.013823917,0.195989462,4.336808689942e-19
0.520000,0.095233271,0.005970822,0.208384310,-0.062383620,-0.004831225,3.487685,1,Solve_Succeeded,-0.013823917,0.195989462,4.336808689942e-19
0.530000,0.097315597,0.005368299,0.208255376,-0.060571974,-0.014153598,2.701034,1,Solve_Succeeded,-0.020989871,0.183926469,-8.673617379884e-19
0.540000,0.099395825,0.004784169,0.208057622,-0.058736862,-0.014153598,2.701034,1,Solve_Succeeded,-0.020989871,0.183926469,-8.673617379884e-19
0.550000,0.101474034,0.004216797,0.207856491,-0.057037199,-0.022960242,2.760240,1,Solve_Succeeded,-0.027764551,0.172635572,-4.336808689942e-19
0.560000,0.103549468,0.003666687,0.207590323,-0.055314856,-0.022960242,2.760240,1,Solve_Succeeded,-0.027764551,0.172635572,-4.336808689942e-19
0.570000,0.105622202,0.003132302,0.207320942,-0.053719988,-0.031282071,2.697126,1,Solve_Succeeded,-0.034171263,0.162067245,0.000000000000e+00
0.580000,0.107691519,0.002614123,0.206990078,-0.052103193,-0.031282071,2.697126,1,Solve_Succeeded,-0.034171263,0.162067245,0.000000000000e+00
0.590000,0.109757491,0.002110701,0.206656157,-0.050606392,-0.039148018,4.296437,1,Solve_Succeeded,-0.040231817,0.152175134,-4.336808689942e-19
0.600000,0.111819440,0.001622496,0.206264098,-0.049088390,-0.039148018,4.296437,1,Solve_Succeeded,-0.040231817,0.152175134,-4.336808689942e-19
0.610000,0.113877435,0.001148142,0.205869126,-0.047683359,-0.046585158,2.876850,1,Solve_Succeeded,-0.045966623,0.142915851,-5.421010862428e-19
0.620000,0.115930832,0.000688079,0.205419163,-0.046257826,-0.046585158,2.876850,1,Solve_Succeeded,-0.045966623,0.142915851,-5.421010862428e-19
0.630000,0.117979697,0.000241020,0.204966425,-0.044938674,-0.053618832,3.365673,1,Solve_Succeeded,-0.051394775,0.134248788,-2.710505431214e-19
0.640000,0.120023423,-0.000192614,0.204461659,-0.043599692,-0.053618832,3.365673,1,Solve_Succeeded,-0.051394775,0.134248788,-2.710505431214e-19
0.650000,0.122062070,-0.000614037,0.203954247,-0.042360905,-0.060272754,2.827106,1,Solve_Succeeded,-0.056534146,0.126135935,-2.168404344971e-19
0.660000,0.124095064,-0.001022846,0.203397595,-0.041102937,-0.060272754,2.827106,1,Solve_Succeeded,-0.056534146,0.126135935,-2.168404344971e-19
0.670000,0.126122461,-0.001420186,0.202838421,-0.039939355,-0.066569118,3.922063,1,Solve_Succeeded,-0.061401458,0.118541718,-2.168404344971e-19
0.680000,0.128143719,-0.001805672,0.202232632,-0.038757218,-0.066569118,3.922063,1,Solve_Succeeded,-0.061401458,0.118541718,-2.168404344971e-19
0.690000,0.130158890,-0.002180383,0.201624438,-0.037664013,-0.072528696,3.076727,1,Solve_Succeeded,-0.066012363,0.111432841,2.168404344971e-19
0.700000,0.132167460,-0.002543951,0.200972103,-0.036552856,-0.072528696,3.076727,1,Solve_Succeeded,-0.066012363,0.111432841,2.168404344971e-19
0.710000,0.134169479,-0.002897393,0.200317474,-0.035525509,-0.078170927,3.798735,1,Solve_Succeeded,-0.070381507,0.104778138,-6.505213034913e-19
0.720000,0.136164460,-0.003240358,0.199621036,-0.034480797,-0.078170927,3.798735,1,Solve_Succeeded,-0.070381507,0.104778138,-6.505213034913e-19
0.730000,0.138152452,-0.003573804,0.198922409,-0.033515079,-0.083514006,2.973704,1,Solve_Succeeded,-0.074522597,0.098548442,-4.336808689942e-19
0.740000,0.140132991,-0.003897396,0.198184172,-0.032532563,-0.083514006,2.973704,1,Solve_Succeeded,-0.074522597,0.098548442,-4.336808689942e-19
0.750000,0.142106123,-0.004212039,0.197443845,-0.031624518,-0.088574963,3.681776,1,Solve_Succeeded,-0.078448462,0.092716452,1.301042606983e-18
0.760000,0.144071410,-0.004517410,0.196665984,-0.030700224,-0.088574963,3.681776,1,Solve_Succeeded,-0.078448462,0.092716452,1.301042606983e-18
0.770000,0.146028895,-0.004814364,0.195886126,-0.029846150,-0.093369738,3.144669,1,Solve_Succeeded,-0.082171109,0.087256616,4.336808689942e-19
0.780000,0.147978163,-0.005102593,0.195070693,-0.028976360,-0.093369738,3.144669,1,Solve_Succeeded,-0.082171109,0.087256616,4.336808689942e-19
0.790000,0.149919254,-0.005382903,0.194253353,-0.028172791,-0.097913248,3.030237,1,Solve_Succeeded,-0.085701778,0.082145019,-4.336808689942e-19
0.800000,0.151851775,-0.005654998,0.193402287,-0.027354025,-0.097913248,3.030237,1,Solve_Succeeded,-0.085701778,0.082145019,-4.336808689942e-19
0.810000,0.153775764,-0.005919641,0.192549400,-0.026597720,-0.102219459,2.843727,1,Solve_Succeeded,-0.089050988,0.077359276,-4.336808689942e-19
0.820000,0.155690848,-0.006176547,0.191664533,-0.025826722,-0.102219459,2.843727,1,Solve_Succeeded,-0.089050988,0.077359276,-4.336808689942e-19
0.830000,0.157597062,-0.006426437,0.190777927,-0.025114647,-0.106301443,2.745386,1,Solve_Succeeded,-0.092228585,0.072878440,4.336808689942e-19
0.840000,0.159494054,-0.006669039,0.189860993,-0.024388371,-0.106301443,2.745386,1,Solve_Succeeded,-0.092228585,0.072878440,4.336808689942e-19
0.850000,0.161381857,-0.006905032,0.188942397,-0.023717688,-0.110171436,3.333740,1,Solve_Succeeded,-0.095243788,0.068682903,-8.673617379884e-19
0.860000,0.163260136,-0.007134158,0.187995035,-0.023033283,-0.110171436,3.333740,1,Solve_Succeeded,-0.095243788,0.068682903,-8.673617379884e-19
0.870000,0.165128922,-0.007357056,0.187046085,-0.022401335,-0.113840895,3.675318,1,Solve_Succeeded,-0.098105225,0.064754313,0.000000000000e+00
0.880000,0.166987898,-0.007573478,0.186069848,-0.021756133,-0.113840895,3.675318,1,Solve_Succeeded,-0.098105225,0.064754313,0.000000000000e+00
0.890000,0.168837093,-0.007784032,0.185092093,-0.021160437,-0.117320543,3.322505,1,Solve_Succeeded,-0.100820976,0.061075496,8.673617379884e-19
